,,,,,,,,,,,,,,
room_id,floor,zone,room_name,display_name,function,color_group,poi_type,is_patient_destination,wheelchair_accessible,accessibility_note,service_flow,voice_aliases,ocr_keywords,notes
A111,1,Tầng 1 - Tiếp nhận & dịch vụ,Phòng in/photocopy y tế,A111 - Phòng in/photocopy y tế,In sao hồ sơ,Hỗ trợ / Dịch vụ,support,Có,TRUE,"Khu nội bộ, bệnh nhân không cần đến đây.",not_applicable,"in/photocopy y tế, in giấy tờ, copy giấy tờ, phô tô giấy tờ",Phòng in/photocopy y tế,
A112,1,Tầng 1 - Tiếp nhận & dịch vụ,Phòng sơ cứu nhỏ,A112 - Phòng sơ cứu nhỏ,Sơ cứu ban đầu,Hỗ trợ / Dịch vụ,first_aid,Có,TRUE,Có thể tiếp cận bằng xe lăn; người bệnh cần hỗ trợ nên báo nhân viên y tế.,standard_flow;insurance_flow;service_flow;priority_support_flow,"sơ cứu nhỏ, sơ cứu, phòng sơ cứu, xử lý vết thương, chảy máu, bị té/bị ngã, sơ cứu ban đầu, phòng cấp cứu nhỏ, băng bó",Phòng sơ cứu nhỏ,
A113,1,Tầng 1 - Tiếp nhận & dịch vụ,Phòng an ninh-y tế trực,A113 - Phòng an ninh-y tế trực,Hỗ trợ an ninh,Hỗ trợ / Dịch vụ,security,Có,TRUE,Có thể tiếp cận khi cần hỗ trợ; không phải điểm đến thường xuyên của bệnh nhân.,standard_flow;insurance_flow;service_flow;priority_support_flow,"an ninh-y tế trực, lạc, hỗ trợ, nhân viên trực, phòng trực, mất đồ, tìm người nhà, bảo vệ, an ninh, báo sự việc, mất ví, phòng bảo vệ",Phòng an ninh-y tế trực,
A114,1,Tầng 1 - Tiếp nhận & dịch vụ,Kho cấp phát thuốc,A114 - Kho cấp phát thuốc,Cấp phát nội bộ,Nhà thuốc / thuốc,pharmacy_internal,Không/ít,FALSE,"Khu nội bộ, bệnh nhân không cần đến đây.",not_applicable,"kho cấp phát thuốc, lấy thuốc, mua thuốc, tìm mua thuốc, mua thuốc kê đơn",Kho cấp phát thuốc,
A115,1,Tầng 1 - Tiếp nhận & dịch vụ,Quầy thanh toán 1,A115 - Quầy thanh toán 1,Thanh toán,Hành chính / tiếp nhận,cashier,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"thanh toán 1, thanh toán viện phí, viện phí, trả tiền, nộp tiền, thu phí, thu ngân, đóng tiền",Quầy thanh toán 1,
A116,1,Tầng 1 - Tiếp nhận & dịch vụ,Quầy thanh toán 2,A116 - Quầy thanh toán 2,Thanh toán,Hành chính / tiếp nhận,cashier,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"thanh toán 2, thanh toán viện phí, viện phí, trả tiền, nộp tiền, thu phí, thu ngân, đóng tiền",Quầy thanh toán 2,
A117,1,Tầng 1 - Tiếp nhận & dịch vụ,Quầy tạm ứng viện phí,A117 - Quầy tạm ứng viện phí,Nộp tạm ứng,Hành chính / tiếp nhận,cashier,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"tạm ứng viện phí, thanh toán viện phí, viện phí, trả tiền, nộp tiền, thu phí, thu ngân, đóng tiền, tạm ứng",Quầy tạm ứng viện phí,
A118,1,Tầng 1 - Tiếp nhận & dịch vụ,Quầy bảo lãnh viện phí,A118 - Quầy bảo lãnh viện phí,Hỗ trợ bảo lãnh,Hành chính / tiếp nhận,insurance_guarantee,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"bảo lãnh viện phí, thanh toán viện phí, viện phí, trả tiền, nộp tiền, thu phí, thu ngân, đóng tiền, bảo lãnh",Quầy bảo lãnh viện phí,
A119,1,Tầng 1 - Tiếp nhận & dịch vụ,Điểm gọi hỗ trợ,A119 - Điểm gọi hỗ trợ,Gọi nhân viên,Hỗ trợ / Dịch vụ,help_point,Có,TRUE,"Điểm hỗ trợ dễ tiếp cận cho người cao tuổi, xe lăn và người cần trợ giúp.",standard_flow;insurance_flow;service_flow;priority_support_flow,"điểm gọi hỗ trợ, hỗ trợ, giúp đỡ, quầy hỗ trợ, gọi người trực, gọi nhân viên, nhân viên, người hỗ trợ",Điểm gọi hỗ trợ,
A120,1,Tầng 1 - Tiếp nhận & dịch vụ,Khu chờ đăng ký,A120 - Khu chờ đăng ký,Chờ khám,Khu chờ / ghế chờ,waiting_area,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"khu chờ đăng ký, ghế ngồi chờ, sảnh chờ, nghỉ chân, chờ đăng ký khám",Khu chờ đăng ký,
A121,1,Tầng 1 - Tiếp nhận & dịch vụ,Phòng công tác xã hội,A121 - Phòng công tác xã hội,Hỗ trợ yếu thế,Hỗ trợ / Dịch vụ,social_work,Có,TRUE,Phù hợp người cần hỗ trợ đặc biệt; có thể đến bằng hành lang rộng.,standard_flow;insurance_flow;service_flow;priority_support_flow,"công tác xã hội, xin hỗ trợ, hỗ trợ viện phí, không đủ tiền, quỹ hỗ trợ, tư vấn hỗ trợ viện phí, hỗ trợ chi phí, người phụ trách",Phòng công tác xã hội,
A122,1,Tầng 1 - Tiếp nhận & dịch vụ,Phòng hỗ trợ người cao tuổi,A122 - Phòng hỗ trợ người cao tuổi,Ưu tiên hỗ trợ,Hỗ trợ / Dịch vụ,elderly_support,Có,TRUE,"Ưu tiên cho người cao tuổi, người hạn chế vận động và người cần trợ giúp.","service_flow;priority_support_flow
","hỗ trợ người cao tuổi, xin hỗ trợ, giúp đỡ, giúp, người cao tuổi",Phòng hỗ trợ người cao tuổi,
A123,1,Tầng 1 - Tiếp nhận & dịch vụ,Phòng chăm sóc khách hàng,A123 - Phòng chăm sóc khách hàng,Hỗ trợ bệnh nhân,Hỗ trợ / Dịch vụ,customer_service,Có,TRUE,Có thể đến bằng hành lang rộng; phù hợp người bệnh cần hỏi thông tin.,standard_flow;insurance_flow;service_flow;priority_support_flow,"chăm sóc khách hàng, tư vấn dịch vụ",Phòng chăm sóc khách hàng,
A124,1,Tầng 1 - Tiếp nhận & dịch vụ,Nhà thuốc,A124 - Nhà thuốc,Nhận thuốc,Nhà thuốc / thuốc,pharmacy,Có,TRUE,"Nằm ở gần cổng ra vào, có thể đến bằng hành lang rộng; xe lăn có thể tiếp cận.",standard_flow;insurance_flow;service_flow;priority_support_flow,"nhà thuốc, mua thuốc, thuốc kê dơn, đơn thuốc, lấy thuốc",Nhà thuốc,
A125,1,Tầng 1 - Tiếp nhận & dịch vụ,Quầy tư vấn dùng thuốc,A125 - Quầy tư vấn dùng thuốc,Hướng dẫn dùng thuốc,Nhà thuốc / thuốc,pharmacy_advice,Có,TRUE,"Nằm ở gần cổng ra vào, có thể đến bằng hành lang rộng; xe lăn có thể tiếp cận.",standard_flow;insurance_flow;service_flow;priority_support_flow,"tư vấn dùng thuốc, cách dùng thuốc, thông tin thuốc, mua thêm thuốc, hỏi đáp thuốc",Quầy tư vấn dùng thuốc,
ENT-1-01,1,Tầng 1 - POI cố định,Lối vào chính,ENT-1-01 - Lối vào chính,Điểm bắt đầu hành trình bệnh nhân,Thang máy / cầu thang / hành lang,entrance,Có,TRUE,"Có lối vào rộng, xe lăn có thể đi qua.",standard_flow;insurance_flow;service_flow;priority_support_flow,"lối vào chính, cửa chính, cửa lớn, lối vào ban đầu, đường đi ban đầu, cửa vào bệnh viện",,"Mã POI riêng, không trùng mã phòng A###"
HALL-1-MAIN,1,Tầng 1 - POI cố định,Hành lang chính tầng 1,HALL-1-MAIN - Hành lang chính tầng 1,Trục di chuyển chính qua sảnh chờ trung tâm,Thang máy / cầu thang / hành lang,hallway,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,hành lang chính tầng 1,,"Mã POI riêng, không trùng mã phòng A###"
HALL-1-BRANCH,1,Tầng 1 - POI cố định,Hành lang nhánh tầng 1,HALL-1-BRANCH - Hành lang nhánh tầng 1,Nhánh chữ L nối sang cụm quầy dịch vụ,Thang máy / cầu thang / hành lang,hallway,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,hành lang nhánh tầng 1,,"Mã POI riêng, không trùng mã phòng A###"
WAIT-1-CENTER,1,Tầng 1 - POI cố định,Sảnh chờ trung tâm,WAIT-1-CENTER - Sảnh chờ trung tâm,"Ghế chờ/lấy số; có màn hình số thứ tự, loa đọc hướng dẫn, lối xe lăn",Khu chờ / ghế chờ,waiting_area,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"sảnh chờ trung tâm, sảnh chờ, sảnh chờ lớn, sảnh chờ chính",,"Mã POI riêng, không trùng mã phòng A###"
WAIT-1-BRANCH,1,Tầng 1 - POI cố định,Khu chờ nhánh tầng 1,WAIT-1-BRANCH - Khu chờ nhánh tầng 1,Ghế chờ tại nhánh chữ L,Khu chờ / ghế chờ,waiting_area,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,khu chờ nhánh tầng 1,,"Mã POI riêng, không trùng mã phòng A###"
ELEV-1A,1,Tầng 1 - POI cố định,Thang máy khu A tầng 1,ELEV-1A - Thang máy khu A tầng 1,"Di chuyển tầng, ưu tiên cho người già/người đi xe lăn",Thang máy / cầu thang / hành lang,elevator,Có,TRUE,"Phù hợp mọi đối tượng, nên ưu tiên cho người đi xe lăn, người cao tuổi và người hạn chế vận động.",standard_flow;insurance_flow;service_flow;priority_support_flow,"thang máy khu a tầng 1, tháng máy tầng 1",,"Mã POI riêng, không trùng mã phòng A###"
STAIR-1A,1,Tầng 1 - POI cố định,Cầu thang bộ khu A tầng 1,STAIR-1A - Cầu thang bộ khu A tầng 1,Di chuyển tầng bằng thang bộ,Thang máy / cầu thang / hành lang,stair,Có,FALSE,Không phù hợp với xe lăn,standard_flow;insurance_flow;service_flow,"cầu thang bộ khu a tầng 1, thang bộ tầng 1 khu a, cầu thang tầng 1 khu a, khu a, đường đi lên tầng 2",,"Mã POI riêng, không trùng mã phòng A###"
ELEV-1B,1,Tầng 1 - POI cố định,Thang máy khu B tầng 1,ELEV-1B - Thang máy khu B tầng 1,Di chuyển tầng tại nhánh chữ L,Thang máy / cầu thang / hành lang,elevator,Có,TRUE,"Phù hợp mọi đối tượng, nên ưu tiên cho người đi xe lăn, người cao tuổi và người hạn chế vận động.",standard_flow;insurance_flow;service_flow;priority_support_flow,"thang máy khu b tầng 1, thang máy tầng 1, đường đi lên tầng 2, thang máy",,"Mã POI riêng, không trùng mã phòng A###"
STAIR-1B,1,Tầng 1 - POI cố định,Cầu thang bộ khu B tầng 1,STAIR-1B - Cầu thang bộ khu B tầng 1,Di chuyển tầng bằng thang bộ tại nhánh chữ L,Thang máy / cầu thang / hành lang,stair,Có,FALSE,Không phù hợp với xe lăn,standard_flow;insurance_flow;service_flow,"cầu thang bộ khu b tầng 1, cầu thang bộ, cầu thang tầng 1, đường đi lên tầng 2",,"Mã POI riêng, không trùng mã phòng A###"
WC-1A-M,1,Tầng 1 - POI cố định,WC nam khu A tầng 1,WC-1A-M - WC nam khu A tầng 1,Vệ sinh nam,WC / tiếp cận,restroom_cluster,Có,TRUE,Có buồng WC tiếp cận xe lăn trong khối WC.,standard_flow;insurance_flow;service_flow;priority_support_flow,"wc nam khu a tầng 1, phòng vệ sinh, khu vệ sinh, rửa tay, soi gương, vệ sinh gần khu A, vệ sinh tầng 1",,"Mã POI riêng, không trùng mã phòng A###"
WC-1A-F,1,Tầng 1 - POI cố định,WC nữ khu A tầng 1,WC-1A-F - WC nữ khu A tầng 1,Vệ sinh nữ,WC / tiếp cận,restroom_cluster,Có,TRUE,Có buồng WC tiếp cận xe lăn trong khối WC.,standard_flow;insurance_flow;service_flow;priority_support_flow,"wc nữ khu a tầng 1,  phòng vệ sinh, khu vệ sinh, rửa tay, soi gương, vệ sinh gần khu A, vệ sinh tầng 1",,"Mã POI riêng, không trùng mã phòng A###"
WC-1A-ACC,1,Tầng 1 - POI cố định,WC xe lăn khu A tầng 1,WC-1A-ACC - WC xe lăn khu A tầng 1,WC cho người khuyết tật/người đi xe lăn,WC / tiếp cận,restroom_cluster,Có,TRUE,Có buồng WC tiếp cận xe lăn trong khối WC.,standard_flow;insurance_flow;service_flow;priority_support_flow,"wc xe lăn khu a tầng 1,  phòng vệ sinh, khu vệ sinh, rửa tay, soi gương, vệ sinh xe lăn khu A, vệ sinh tầng 1",,"Mã POI riêng, không trùng mã phòng A###"
WC-1B-M,1,Tầng 1 - POI cố định,WC nam khu B tầng 1,WC-1B-M - WC nam khu B tầng 1,Vệ sinh nam,WC / tiếp cận,restroom_cluster,Có,TRUE,Có buồng WC tiếp cận xe lăn trong khối WC.,standard_flow;insurance_flow;service_flow;priority_support_flow,"wc nam khu b tầng 1,  phòng vệ sinh, khu vệ sinh, rửa tay, soi gương, vệ sinh gần khu B, vệ sinh tầng 1",,"Mã POI riêng, không trùng mã phòng A###"
WC-1B-F,1,Tầng 1 - POI cố định,WC nữ khu B tầng 1,WC-1B-F - WC nữ khu B tầng 1,Vệ sinh nữ,WC / tiếp cận,restroom_cluster,Có,TRUE,Có buồng WC tiếp cận xe lăn trong khối WC.,standard_flow;insurance_flow;service_flow;priority_support_flow,"wc nữ khu b tầng 1,  phòng vệ sinh, khu vệ sinh, rửa tay, soi gương, vệ sinh gần khu B, vệ sinh tầng 1",,"Mã POI riêng, không trùng mã phòng A###"
WC-1B-ACC,1,Tầng 1 - POI cố định,WC xe lăn khu B tầng 1,WC-1B-ACC - WC xe lăn khu B tầng 1,WC cho người khuyết tật/người đi xe lăn,WC / tiếp cận,restroom_cluster,Có,TRUE,Có buồng WC tiếp cận xe lăn trong khối WC.,standard_flow;insurance_flow;service_flow;priority_support_flow,"wc xe lăn khu b tầng 1, , vệ sinh gần khu B, vệ sinh tầng 1",,"Mã POI riêng, không trùng mã phòng A###"
A201,2,Tầng 2 - Khám lâm sàng,PK Nội tổng quát 1,A201 - PK Nội tổng quát 1,Khám ban đầu,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám nội tổng quát 1, nội tổng quát, khám nội, phòng khám nội, khám tổng quát, phòng khám chính, khám bệnh thông thường, kiểm tra sức khỏe, khám sức khỏe",PK Nội tổng quát 1,
A202,2,Tầng 2 - Khám lâm sàng,PK Nội tổng quát 2,A202 - PK Nội tổng quát 2,Khám nội khoa,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám nội tổng quát 2, nội tổng quát, khám nội, phòng khám nội, khám tổng quát, phòng khám chính, khám bệnh thông thường, kiểm tra sức khỏe, khám sức khỏe",PK Nội tổng quát 2,
A203,2,Tầng 2 - Khám lâm sàng,PK Tim mạch 1,A203 - PK Tim mạch 1,Khám tim,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám tim mạch 1, tim mạch, đo điện tim, khám bệnh tim, tim đập nhanh, bác sĩ tim mạch, điện tim đồ",PK Tim mạch 1,
A204,2,Tầng 2 - Khám lâm sàng,PK Tim mạch 2,A204 - PK Tim mạch 2,Tái khám tim,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám tim mạch 2, tim mạch, đo điện tim, khám bệnh tim, tim đập nhanh, bác sĩ tim mạch, điện tim đồ",PK Tim mạch 2,
A205,2,Tầng 2 - Khám lâm sàng,PK Hô hấp 1,A205 - PK Hô hấp 1,Khám hô hấp,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám hô hấp 1, hô hấp, khám hô hấp, khám phổi, soi họng, nội soi phế quản, đo chức năng hô hấp, kiểm tra phổi, kiểm tra đường hô hấp",PK Hô hấp 1,
A206,2,Tầng 2 - Khám lâm sàng,PK Hô hấp 2,A206 - PK Hô hấp 2,Tái khám hô hấp,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám hô hấp 2, hô hấp, khám hô hấp, khám phổi, soi họng, nội soi phế quản, đo chức năng hô hấp, kiểm tra phổi, kiểm tra đường hô hấp",PK Hô hấp 2,
A207,2,Tầng 2 - Khám lâm sàng,PK Tiêu hóa 1,A207 - PK Tiêu hóa 1,Khám tiêu hóa,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám tiêu hóa 1, dạ dày, nội soi dạ dày, nội soi đại tràng, vấn đề tiêu hóa, siêu âm ổ bụng, kiểm tra đường ruột",PK Tiêu hóa 1,
A208,2,Tầng 2 - Khám lâm sàng,PK Tiêu hóa 2,A208 - PK Tiêu hóa 2,Đọc kết quả,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám tiêu hóa 2, dạ dày, nội soi dạ dày, nội soi đại tràng, vấn đề tiêu hóa, siêu âm ổ bụng, kiểm tra đường ruột",PK Tiêu hóa 2,
A209,2,Tầng 2 - Khám lâm sàng,PK Nội tiết 1,A209 - PK Nội tiết 1,Khám nội tiết,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám nội tiết 1, khám tiểu đường, khám nội tiết, đo đường huyết, tuyết giáp, xét nghiệm đường máu, tiêu insulin, tái khám tiểu đường",PK Nội tiết 1,
A210,2,Tầng 2 - Khám lâm sàng,PK Nội tiết 2,A210 - PK Nội tiết 2,Tư vấn nội tiết,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám nội tiết 2, khám tiểu đường, khám nội tiết, đo đường huyết, tuyết giáp, xét nghiệm đường máu, tiêu insulin, tái khám tiểu đường",PK Nội tiết 2,
A211,2,Tầng 2 - Khám lâm sàng,PK Cơ xương khớp 1,A211 - PK Cơ xương khớp 1,Khám khớp,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám cơ xương khớp 1, xương khớp, khám khớp gối, gout, đo mật độ xương, khám đau mỏi vai gáy, khám cột sống, cong vẹo cột sống, vật lý trị liệu, trị liệu thần kinh, phục hồi chức năng",PK Cơ xương khớp 1,
A212,2,Tầng 2 - Khám lâm sàng,PK Cơ xương khớp 2,A212 - PK Cơ xương khớp 2,Tái khám khớp,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám cơ xương khớp 2, xương khớp, khám khớp gối, gout, đo mật độ xương, khám đau mỏi vai gáy, khám cột sống, cong vẹo cột sống, vật lý trị liệu, trị liệu thần kinh, phục hồi chức năng",PK Cơ xương khớp 2,
A213,2,Tầng 2 - Khám lâm sàng,PK Thần kinh 1,A213 - PK Thần kinh 1,Khám thần kinh,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám thần kinh 1, đo điện não, đo điện cơ, khám đột quỵ, khám thần kinh, tái khám đột quỵ, khám Parkinson, kiểm tra dây thần kinh, khám động kinh, khám sa sút trí tuệ, đọc kết quả điện não, đọc kết quả điện cơ, tái khám thần kinh",PK Thần kinh 1,
A214,2,Tầng 2 - Khám lâm sàng,PK Thần kinh 2,A214 - PK Thần kinh 2,Đọc kết quả,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám thần kinh 2, đo điện não, đo điện cơ, khám đột quỵ, khám thần kinh, tái khám đột quỵ, khám Parkinson, kiểm tra dây thần kinh, khám động kinh, khám sa sút trí tuệ, đọc kết quả điện não, đọc kết quả điện cơ, tái khám thần kinh",PK Thần kinh 2,
A215,2,Tầng 2 - Khám lâm sàng,PK Da liễu,A215 - PK Da liễu,Khám da,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám da liễu, khám da liễu, khám bệnh ngoài da, soi da, đốt mụn cóc, khám nấm da, khám chàm, khám vảy nến, tái khám da liễu, soi nấm da, khám dị ứng da, khám viêm da",PK Da liễu,
A216,2,Tầng 2 - Khám lâm sàng,PK Tai mũi họng,A216 - PK Tai mũi họng,Khám TMH,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám tai mũi họng, nội soi tai mũi họng, nội soi mũi, kiểm tra thính lực, đo thính lực, lấy ráy tai, khám viêm xoang, khám amidan, nội soi thanh quản, khám viêm tai giữa, khám dị ứng mũi, khám dây thanh quản, lấy dị vật tai, mũi hoặc họng",PK Tai mũi họng,
A217,2,Tầng 2 - Khám lâm sàng,PK Mắt,A217 - PK Mắt,Khám mắt,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám mắt, đo thị lực, đo kính, soi đáy mắt, khám đục thủy tinh thể, khám tăng nhãn áp, đo nhãn áp, tái khám mắt, đo khúc xạ, khám trước/sau phẫu thuật mắt, khám võng mạc",PK Mắt,
A218,2,Tầng 2 - Khám lâm sàng,PK Răng hàm mặt,A218 - PK Răng hàm mặt,Khám răng miệng,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám răng hàm mặt, khám răng, nhổ răng, nhổ răng khôn, hàn răng, lấy cao răng, niềng răng, bọc răng sứ, chữa tủy răng, trám răng, điều trị tủy, chỉnh nha, tẩy trắng răng, trồng răng, nhổ chân răng",PK Răng hàm mặt,
A219,2,Tầng 2 - Khám lâm sàng,PK Sản phụ khoa,A219 - PK Sản phụ khoa,Khám sản/phụ khoa,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám sản phụ khoa, khám phụ khoa, siêu âm thai, khám thai, khám tiền sản, khám sức khỏe sinh sản, xét nghiệm phụ khoa, siêu âm thai, theo dõi thai kỳ, khám sản, tư vấn sinh sản",PK Sản phụ khoa,
A220,2,Tầng 2 - Khám lâm sàng,PK Nhi,A220 - PK Nhi,Khám trẻ em,Khám lâm sàng,clinic,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng khám nhi, khám cho bé, khám tổng quát cho trẻ, khám dinh dưỡng, tiêm chủng, khám sơ sinh, tiêm vaccine, khám định kỳ cho bé, khám sức khỏe trẻ em",PK Nhi,
A221,2,Tầng 2 - Khám lâm sàng,Phòng tư vấn dinh dưỡng,A221 - Phòng tư vấn dinh dưỡng,Tư vấn ăn uống,Khám lâm sàng,clinical_support,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"phòng tư vấn dinh dưỡng, tư vấn chế độ ăn, chuyên gia dinh dưỡng, tư vấn thực đơn, tư vấn giảm cân, dinh dưỡng cho trẻ em, tư vấn dinh dưỡng cho người bệnh, tư vấn chế độ ăn, xây dựng thực đơn, chuyên gia dinh dưỡng",Phòng tư vấn dinh dưỡng,
